City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
236,kununurra,-15.7667,128.7333,82.38,89,100,10.36,AU,1675231845
237,cockburn town,21.4612,-71.1419,77.16,71,92,19.73,TC,1675232130
238,yulara,-25.2406,130.9889,93.76,11,2,18.41,AU,1675231929
239,yugo-kamskiy,57.7053,55.5894,26.62,94,100,8.9,RU,1675232132
240,coihaique,-45.5752,-72.0662,52.41,66,0,3.44,CL,1675232132
241,solnechnyy,50.7214,136.6319,0.66,91,100,3.24,RU,1675232133
242,sokolo,14.7328,-6.1219,63.95,12,92,9.51,ML,1675232134
243,sibiti,-3.6819,13.3499,68.95,98,96,1.1,CG,1675232135
244,lisala,2.15,21.5167,74.91,68,5,3.18,CD,1675232136
245,gezing,47.9178,13.1299,36.14,96,75,9.22,AT,1675232137
246,caravelas,-17.7125,-39.2481,73.98,86,97,2.91,BR,1675232138
247,kantunilkin,21.0917,-87.45,67.98,98,8,2.21,MX,1675232138
248,sur,22.5667,59.5289,72.19,58,6,8.25,OM,1675231935
249,roswell,34.0232,-84.3616,57.07,95,100,5.75,US,1675232139
250,severo-kurilsk,50.6789,156.125,23.23,67,62,6.11,RU,1675232140
251,belmonte,-15.8631,-38.8828,74.68,84,5,3.91,BR,1675232141
252,tres picos,15.8667,-93.5333,75.27,73,1,3.62,MX,1675232142
253,nuuk,64.1835,-51.7216,3.7,89,100,13.38,GL,1675231963
254,alappuzha,9.49,76.3264,91.0,72,90,4.88,IN,1675231845
255,chegem,43.2833,43.1333,8.73,41,67,3.96,RU,1675232145
256,port hedland,-20.3167,118.5667,95.05,55,21,16.11,AU,1675232145
257,garowe,8.4054,48.4845,70.88,64,2,11.7,SO,1675232146
258,licheng,23.2955,113.8284,77.95,45,76,1.36,CN,1675232147
259,wanning,18.8003,110.3967,76.32,72,39,8.5,CN,1675232147
260,kaoma,-14.7833,24.8,63.46,99,100,3.78,ZM,1675232148
261,tautira,-17.7333,-149.15,80.53,77,18,15.7,PF,1675232035
262,barranca,-10.75,-77.7667,71.04,79,100,4.85,PE,1675232149
263,olafsvik,64.8945,-23.7142,29.52,88,99,12.75,IS,1675232150
264,onega,63.9061,38.1404,18.68,94,100,7.05,RU,1675232151
265,tual,-5.6667,132.75,83.43,75,90,13.44,ID,1675232151
266,acarau,-2.8856,-40.12,76.95,89,53,11.65,BR,1675232152
267,aguilas,37.4063,-1.5829,47.62,61,0,4.09,ES,1675232153
268,yen bai,21.7,104.8667,72.18,45,58,2.66,VN,1675232153
269,faya,18.3851,42.4509,61.32,42,57,4.99,SA,1675232154
270,fort walton beach,30.4058,-86.6188,67.01,97,100,3.44,US,1675232155
271,monforte de lemos,42.5216,-7.5142,37.56,91,12,1.72,ES,1675232156
272,price,39.5994,-110.8107,12.11,61,0,4.61,US,1675232156
273,mount isa,-20.7333,139.5,89.37,43,96,4.61,AU,1675231909
274,baker city,44.7749,-117.8344,18.59,70,0,4.61,US,1675232157
275,puro,12.4841,123.3827,83.07,73,23,13.29,PH,1675232158
276,mayor pablo lagerenza,-19.9309,-60.7718,71.74,96,98,3.62,PY,1675232159
